Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
268496,RU567434,Professional Services,187742 RON,2018-01-23
353851,RO094782,Various paper supplies,29098.8 RON,2018-01-25
552528,IT145632,Waste management services,172751 RON,2018-01-05
434922,RO094782,Concierge Services,322676 RON,2018-01-26
251645,RO874231,Concierge Services,165444 RON,2018-01-13
973063,RO125678,Professional Services,355786 USD,2018-01-24
853718,RO125678,Beverages and Catering,41164.8 CAD,2018-01-19
752340,FR329083,Waste management services,14031.6 RON,2018-01-16
781612,FR121212,Beverages and Catering,2266.8 RON,2018-01-18
927469,DE987564,Various paper supplies,254513 RON,2018-01-10
528249,RO094782,IT Support,163879 RON,2018-01-02
630425,RO094782,Concierge Services,212873 RON,2018-01-17
473082,RO874232,Waste management services,338821 USD,2018-01-03
244091,RO212121,Beverages and Catering,119498 CAD,2018-01-12
649909,IT145632,Concierge Services,238432 USD,2018-01-19
366744,FR453231,Beverages and Catering,109775 USD,2018-02-14
111859,RU567434,Waste management services,303542 USD,2018-02-14
825477,IT213456,IT Support,149008 CAD,2018-02-03
762524,FR329083,IT Support,229465 EUR,2018-02-20
511012,FR121212,Various paper supplies,247505 RON,2018-02-19
919892,RU567434,Professional Services,82952.4 USD,2018-02-23
824429,IT213456,Concierge Services,213772 EUR,2018-02-23
303098,FR329083,Various paper supplies,134762 RON,2018-02-18
396658,DE987564,Various paper supplies,304746 RON,2018-02-05
922830,IT213456,Professional Services,227924 RON,2018-02-07
767854,RO874231,Various paper supplies,59785.2 RON,2018-02-12
991348,FR453231,IT Support,96180 RON,2018-02-15
458898,RO212121,Beverages and Catering,175826 RON,2018-02-09
937389,IT145632,IT Support,99336 USD,2018-02-17
783585,IT231232,Various paper supplies,86073.6 EUR,2018-02-12
863805,RO125678,IT Support,86152.8 EUR,2018-03-11
503574,IT213456,Beverages and Catering,111067 EUR,2018-03-05
112882,RO874232,IT Support,215839 EUR,2018-03-05
436724,FR121212,Various paper supplies,348440 EUR,2018-03-26
296896,FR453231,Concierge Services,88568.4 EUR,2018-03-19
964888,RU567434,Waste management services,275190 RON,2018-03-11
297601,IT213456,IT Support,162624 RON,2018-03-18
212268,DE987564,Waste management services,17521.2 USD,2018-03-27
570211,RO094782,Waste management services,43862.4 CAD,2018-03-17
241338,RO874231,Beverages and Catering,106188 EUR,2018-03-11
535620,RO212121,Beverages and Catering,264535 EUR,2018-03-06
916235,FR453231,Concierge Services,252803 EUR,2018-03-13
985329,RO874231,IT Support,61281.6 EUR,2018-03-23
968474,RO212121,Waste management services,203081 CAD,2018-03-22
738140,FR453231,IT Support,140024 CAD,2018-04-04
174562,FR121212,Various paper supplies,224074 EUR,0000-00-00
730340,IT231232,Concierge Services,105234 USD,2018-04-08
419827,RU567434,Waste management services,289688 USD,2018-04-20
995496,RO125678,Waste management services,328680 EUR,2018-04-05
927202,FR329083,Concierge Services,110350 EUR,2018-04-03
515097,FR121212,Professional Services,190364 RON,2018-04-08
998465,RO125678,Waste management services,100414 USD,2018-04-21
581571,IT145632,Waste management services,122803 RON,2018-04-15
457899,RO125678,Various paper supplies,149962 EUR,2018-05-06
585082,RO125678,Professional Services,232225 USD,2018-05-11
980328,IT213456,IT Support,314149 USD,2018-05-27
803315,FR121212,Waste management services,148277 RON,2018-05-09
779849,RO874231,Concierge Services,328225 USD,2018-05-21
843563,FR329083,Various paper supplies,715.2 EUR,2018-05-23
499540,FR121212,IT Support,166476 EUR,2018-05-08
519522,RU567434,Concierge Services,260560 CAD,2018-05-02
173253,RO874231,Various paper supplies,263376 USD,2018-05-24
487173,RO874232,Various paper supplies,189121 EUR,2018-05-28
490525,IT231232,Concierge Services,350822 USD,2018-05-08
250934,RO212121,Concierge Services,300092 CAD,2018-05-24
497591,RO874232,Waste management services,54091.2 EUR,2018-05-04
131937,FR121212,Professional Services,168564 RON,2018-05-27
396104,RO657483,Concierge Services,171799 EUR,2018-05-13
